path	bytes	lines	extension	test_code
src/plugins/ai_stream_router.rs	98845	2604	.rs	0
src/plugins/ai_token_metrics.rs	26516	663	.rs	0
src/plugins/ai_tool_governor.rs	254113	5815	.rs	0
src/plugins/ai_transcript_audit.rs	147159	3696	.rs	0
src/plugins/api_chargeback.rs	78042	1860	.rs	0
src/plugins/api_chargeback_sink.rs	262205	6887	.rs	0
src/plugins/basic_auth.rs	9874	269	.rs	0
src/plugins/body_validator.rs	90921	2435	.rs	0
src/plugins/bot_detection.rs	11919	324	.rs	0
src/plugins/builtin_parity.rs	32373	715	.rs	0
src/plugins/chargeback.rs	14992	385	.rs	0
src/plugins/compression.rs	85771	1972	.rs	0
src/plugins/correlation_id.rs	10373	304	.rs	0
src/plugins/cors.rs	47525	1203	.rs	0
src/plugins/fault_injection.rs	13562	393	.rs	0
src/plugins/fault_injection/runtime_overlay.rs	15096	429	.rs	0
src/plugins/geo_restriction.rs	20566	559	.rs	0
src/plugins/graphql.rs	59453	1672	.rs	0
src/plugins/grpc_deadline.rs	15505	426	.rs	0
src/plugins/grpc_method_router.rs	20686	538	.rs	0
src/plugins/grpc_web.rs	118078	2892	.rs	0
src/plugins/hmac_auth.rs	35212	979	.rs	0
src/plugins/http_logging.rs	5627	166	.rs	0
src/plugins/ip_restriction.rs	13233	416	.rs	0
src/plugins/jwks_auth.rs	72581	1902	.rs	0
